timestep_time;vehicle_CO;vehicle_CO2;vehicle_HC;vehicle_NOx;vehicle_PMx;vehicle_angle;vehicle_eclass;vehicle_electricity;vehicle_fuel;vehicle_id;vehicle_lane;vehicle_noise;vehicle_pos;vehicle_route;vehicle_speed;vehicle_type;vehicle_waiting;vehicle_x;vehicle_y
7.00;0.00;0.00;0.00;0.00;0.00;141.15;Zero/default;0.00;0.00;bike1;-225052896#3_1;0.00;11.77;!bike1!var#1;5.00;bike_bicycle;0.00;1861.78;1279.46
7.00;22.06;7452.05;5.13;74.96;2.23;223.08;HBEFA3/Bus;0.00;3.18;bus0;169923246#1_1;71.18;13.99;!bus0!var#1;1.26;bus_bus;0.00;1600.30;717.23
7.00;0.00;0.00;0.00;0.00;0.00;45.29;HBEFA3/LDV_G_EU6;0.00;0.00;moto0;205860388#3_1;53.22;0.89;!moto0!var#1;2.41;moto_motorcycle;0.00;2049.24;491.20
7.00;179.19;1228.61;0.64;0.31;0.17;322.41;HBEFA3/LDV_G_EU6;0.00;0.53;moto1;169923329#1_1;55.94;2.30;!moto1!var#1;0.00;moto_motorcycle;0.00;2151.13;1040.20
7.00;33.25;24149.40;0.00;207.02;4.04;230.18;HBEFA3/HDV;0.00;10.24;truck0;169923246#1_1;75.72;39.10;!truck0!var#1;7.62;truck_truck;0.00;1582.07;699.62
7.00;15.20;7380.56;0.00;84.89;2.21;43.53;HBEFA3/HDV;0.00;3.13;truck2;-169923323_1;67.11;7.20;!truck2!var#1;0.00;truck_truck;0.00;1710.46;793.07
7.00;0.00;0.00;0.00;0.00;0.00;237.48;HBEFA3/PC_G_EU4;0.00;0.00;veh0;169923249#1_1;64.19;78.85;!veh0!var#1;14.36;veh_passenger;0.00;2393.62;1358.58
7.00;145.96;6545.04;0.82;2.87;0.14;311.06;HBEFA3/PC_G_EU4;0.00;2.81;veh1;-225052910#1_1;69.87;20.01;!veh1!var#1;6.69;veh_passenger;0.00;1914.47;473.31
7.00;0.00;0.00;0.00;0.00;0.00;25.26;HBEFA3/PC_G_EU4;0.00;0.00;veh2;205860388#0_1;63.79;33.91;!veh2!var#1;14.16;veh_passenger;0.00;1953.72;268.73
7.00;164.78;2624.72;0.81;1.20;0.07;292.80;HBEFA3/PC_G_EU4;0.00;1.13;veh3;380698877#2_1;55.94;4.41;!veh3!var#1;0.00;veh_passenger;0.00;961.17;580.01
8.00;0.00;0.00;0.00;0.00;0.00;60.91;Zero/default;0.00;0.00;bike0;169923248#1_1;0.00;30.42;!bike0!var#1;5.32;bike_bicycle;0.00;1758.49;859.55
8.00;0.00;0.00;0.00;0.00;0.00;141.15;Zero/default;0.00;0.00;bike1;-225052896#3_1;0.00;17.07;!bike1!var#1;5.30;bike_bicycle;0.00;1865.11;1275.34
8.00;25.52;10886.70;5.57;98.44;2.61;224.09;HBEFA3/Bus;0.00;4.64;bus0;169923246#1_1;73.87;16.29;!bus0!var#1;2.30;bus_bus;0.00;1598.68;715.57
8.00;266.13;5941.12;1.14;1.27;0.38;24.85;HBEFA3/LDV_G_EU6;0.00;2.55;moto0;205860388#3_1;71.51;6.34;!moto0!var#1;5.45;moto_motorcycle;0.00;2051.50;496.09
8.00;306.73;6333.15;1.30;1.33;0.43;322.41;HBEFA3/LDV_G_EU6;0.00;2.72;moto1;169923329#1_1;76.54;6.60;!moto1!var#1;4.30;moto_motorcycle;0.00;2148.51;1043.61
8.00;39.50;29851.35;0.00;250.32;4.70;234.43;HBEFA3/HDV;0.00;12.66;truck0;169923246#1_1;77.35;47.79;!truck0!var#1;8.69;truck_truck;0.00;1574.92;694.51
8.00;18.94;10832.71;0.00;110.45;2.59;43.53;HBEFA3/HDV;0.00;4.59;truck2;-169923323_1;74.36;8.41;!truck2!var#1;1.21;truck_truck;0.00;1711.29;793.95
8.00;0.00;0.00;0.00;0.00;0.00;227.23;HBEFA3/PC_G_EU4;0.00;0.00;veh0;169923249#1_1;63.03;92.51;!veh0!var#1;13.66;veh_passenger;0.00;2383.48;1349.61
8.00;146.14;7858.51;0.85;3.43;0.16;311.06;HBEFA3/PC_G_EU4;0.00;3.38;veh1;-225052910#1_1;70.47;29.13;!veh1!var#1;9.11;veh_passenger;0.00;1907.60;479.29
8.00;49.01;5288.31;0.35;2.07;0.09;25.26;HBEFA3/PC_G_EU4;0.00;2.27;veh2;205860388#0_1;67.17;48.81;!veh2!var#1;14.90;veh_passenger;0.00;1960.07;282.21
8.00;151.01;3969.80;0.78;1.77;0.09;293.76;HBEFA3/PC_G_EU4;0.00;1.71;veh3;:3661051735_4_0;67.87;2.49;!veh3!var#1;2.49;veh_passenger;0.00;958.95;581.04
9.00;0.00;0.00;0.00;0.00;0.00;65.50;Zero/default;0.00;0.00;bike0;169923248#1_1;0.00;35.48;!bike0!var#1;5.07;bike_bicycle;0.00;1763.04;861.84
9.00;0.00;0.00;0.00;0.00;0.00;141.15;Zero/default;0.00;0.00;bike1;-225052896#3_1;0.00;22.15;!bike1!var#1;5.08;bike_bicycle;0.00;1868.29;1271.38
9.00;0.00;0.00;0.00;0.00;0.00;25.26;Zero/default;0.00;0.00;bike2;205860388#0_1;0.00;1.70;!bike2!var#1;5.56;bike_bicycle;0.00;1939.98;239.61
9.00;27.18;12724.66;5.81;110.62;2.80;224.35;HBEFA3/Bus;0.00;5.43;bus0;169923246#1_1;73.85;19.54;!bus0!var#1;3.25;bus_bus;0.00;1596.38;713.22
9.00;764.29;18897.54;3.46;3.82;1.22;24.85;HBEFA3/LDV_G_EU6;0.00;8.12;moto0;205860388#3_1;85.97;17.57;!moto0!var#1;11.22;moto_motorcycle;0.00;2056.17;506.15
